espece_plantnet,noms_du_depot,origine,photos_plantnet,photos_libres,dont_plante_entiere,verdict,note,cle_gbif
,Bucephalandra pygmaea,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Calathea chimboracensis,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Calathea ecuadoriana,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Calathea lindeniana,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Calathea metallica,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Cambria hybrida,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Chrysanthemum morifolium,,,,,nom corrigé,voir chrysanthemum-x-morifolium (classe du modèle),
,Citrus aurantiifolia,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Clerodendrum ugandense,,,,,nom corrigé,voir Rotheca myricoides,
,Columnea gloria,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Costus woodenii,,,,,nom corrigé,voir costus-woodsonii (classe du modèle),
,Cryptostephanus vansonii,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Cymbidium hybrida,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Cymbidium hybridum,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Dendrobium phalaenopsis,,,,,nom corrigé,voir Dendrobium bigibbum,
,Fatshedera lizei,,,,,nom corrigé,voir × Fatshedera lizei,
,Ficus triangularis,,,,,nom corrigé,voir Ficus natalensis,
,Goeppertia musaica,,,,,nom corrigé,voir Goeppertia kegeljanii,
,Goeppertia warscewiczii,,,,,nom corrigé,voir Goeppertia warszewiczii,
,Haemanthus katharinae,,,,,nom corrigé,voir Scadoxus multiflorus,
,Hippeastrum hortorum,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Hoya tsiangiana,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Kohleria eriantha,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Miltoniopsis hybrida,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Monstera esqueleto,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Narcissus tazzetta,,,,,nom corrigé,voir narcissus-tazetta (classe du modèle),
,Pachypodium lameri,,,,,nom corrigé,voir pachypodium-lamerei (classe du modèle),
,Peperomia argyreia,,,,,nom corrigé,voir Peperomia argyraea,
,Philodendron birkin,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Philodendron domesticum,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Philodendron patriot,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Pilea meyeniana,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Scindapsus officinalis,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Streptocarpus cultivar,,,,,absente de Pl@ntNet,"hybride, cultivar ou nom introuvable",
,Yucca elephantipes,,,,,nom corrigé,voir yucca-gigantea (classe du modèle),
