Atriplex bonnevillensis	Amaranthaceae		Bonneville saltbush			
Atriplex bunburyana	Amaranthaceae		silver saltbush			
Atriplex canescens	Amaranthaceae		fourwing saltbush	Obione canescens		Pterochiton canescens
Atriplex cinerea	Amaranthaceae		gray saltbush	Neopreissia cinerea		grey saltbush~truganini~barilla~coast saltbush
Atriplex clivicola	Amaranthaceae			Obione clivicola		
Atriplex codonocarpa	Amaranthaceae		Flat-topped saltbush			
Atriplex confertifolia	Amaranthaceae		Shadscale	Obione rigida		shadscale saltbush
Atriplex cordulata	Amaranthaceae		heartscale			
Atriplex coriacea	Amaranthaceae			Obione coriacea		
Atriplex coronata	Amaranthaceae		crownscale			
Atriplex corrugata	Amaranthaceae		mat saltbush			mat-atriplex~Mat-saltbush~matscale
Atriplex coulteri	Amaranthaceae		Coulter's saltbush	Obione coulteri		
Atriplex covillei	Amaranthaceae			Endolepis covillei		
Atriplex cristata	Amaranthaceae		crested saltbush			
Atriplex cuneata	Amaranthaceae		valley saltbush			
Atriplex depressa	Amaranthaceae		brittlescale			
Atriplex deserticola	Amaranthaceae			Obione podocarpa		
Atriplex dioica	Amaranthaceae	Atriplex dioica Raf.	Atriplex dioica Raf.		Atriplex dioica Raf.	
Atriplex domingensis	Amaranthaceae			Obione crispa		Atriplex crispa (Moq.) Urban
Atriplex drymarioides	Amaranthaceae		seashore saltbush			
Atriplex eardleyae	Amaranthaceae		small saltbush			
Atriplex elegans	Amaranthaceae		wheelscale saltbush	Obione elegans		
Atriplex erecticaulis	Amaranthaceae		erectstem saltbush			
Atriplex falcata	Amaranthaceae		sickle saltbush			
Atriplex fera	Amaranthaceae			Obione fera		
Atriplex fissivalvis	Amaranthaceae			Haloxanthium fissivalve		
Atriplex fruticulosa	Amaranthaceae		ball saltbush			
Atriplex gardneri	Amaranthaceae		Gardner's saltbush	Obione gardneri		
Atriplex garrettii	Amaranthaceae		Garrett's saltbush			
Atriplex glauca	Amaranthaceae	Arroche glauque	waxy saltbush			
Atriplex graciliflora	Amaranthaceae		Blue Valley orach			slenderflower saltbush
Atriplex griffithsii	Amaranthaceae		Griffiths' saltbush			
Atriplex halimus	Amaranthaceae	Arroche marine	Mediterranean saltbush	Strauch-Melde		Épinard de mer~fessecul~Halime~Pourpier de mer~Atriplex halimoides Tineo~Atriplex parvifolia Pau
Atriplex hastata	Amaranthaceae		Atriplex hastata L. (1753)	Pfeilblättrige Melde		name that may not be used
Atriplex hollowayi	Amaranthaceae		Holloway's crystalwort			
Atriplex holocarpa	Amaranthaceae		pop saltbush			
Atriplex hortensis	Amaranthaceae	Arroche des jardins	Arrach	Gartenmelde	atreplice degli orti	Arroche~Arroche bonne-dame~Arroche épinard~Belle-Dame~Bonne-Dame~Chou d’Amour
Atriplex hymenelytra	Amaranthaceae		desert holly	Obione hymenelytra		desertholly
Atriplex hystrix	Amaranthaceae			Atriplex mucronata Phil.		Obione hystrix
Atriplex imbricata	Amaranthaceae			Obione glaucescens		Atriplex axillaris Phil.~Atriplex foliolosa Phil~Atriplex microphylla Phil.
Atriplex infrequens	Amaranthaceae			Atriplex microcarpa Benth.		
Atriplex isatidea	Amaranthaceae			Neopreissia isatidea		
Atriplex julacea	Amaranthaceae			Obione julacea		
Atriplex klebergorum	Amaranthaceae		Kleberg orach			Kleberg's saltbush
Atriplex laciniata	Amaranthaceae	Arroche des sables	frosted orache	Gelappte Melde		Arroche laciniée~Sandmelde~Gelapptblättrige Melde~Belgian orach
Atriplex lampa	Amaranthaceae		South American saltbush	Obione lampa		Obione ceratophylla
Atriplex lanfrancoi	Amaranthaceae			Cremnophyton lanfrancoi		
Atriplex lehmanniana	Amaranthaceae			Obione leucoclada		
Atriplex lentiformis	Amaranthaceae		big saltbush			
Atriplex leptocarpa	Amaranthaceae		slender-fruit saltbush			
Atriplex leucophylla	Amaranthaceae		beach saltbush	Obione leucophylla		
Atriplex lindleyi	Amaranthaceae		Lindley's saltbush	Atriplex halimoides Lindl.		Lindley’s saltbush
Atriplex linifolia	Amaranthaceae			Obione polygama		
Atriplex macropterocarpa	Amaranthaceae			Blackiella macropterocarpa		
Atriplex matamorensis	Amaranthaceae		Matamoros saltbush	Atriplex oppositifolia S.Watson		Quelite cenizo
Atriplex maximowicziana	Amaranthaceae		Maximowicz's saltbush			
Atriplex minuscula	Amaranthaceae		lesser saltscale			
Atriplex minuticarpa	Amaranthaceae		Tununk saltbush			
Atriplex moneta	Amaranthaceae			Obione moneta		
Atriplex mucronata	Amaranthaceae			Obione arenaria		
Atriplex muelleri	Amaranthaceae		Mueller's saltbush			
Atriplex muricata	Amaranthaceae			Obione muricata (Humb. & Bonpl. ex Willd.) Moq.		
Atriplex myriophylla	Amaranthaceae			Obione myriophylla		Atriplex pusilla Phil.~Atriplex serpyllifolia Herzog
Atriplex navajoensis	Amaranthaceae		Navajo saltbush			
Atriplex nessorhina	Amaranthaceae		Donald Duck Saltbush			
Atriplex nummularia	Amaranthaceae	Arroche nummulaire	bluegreen saltbush			
Atriplex nuttallii	Amaranthaceae		Nuttall's saltbush			
Atriplex oblongifolia	Amaranthaceae		oblongleaf orache	Langblättrige Melde		
Atriplex obovata	Amaranthaceae		broadscale	Atriplex sabulosa M.E. Jones		mound saltbush~New Mexico saltbush
Atriplex pachypoda	Amaranthaceae		thickfoot saltbush			
Atriplex pacifica	Amaranthaceae		Davidson's saltbush	Obione microcarpa		Atriplex microcarpa (Benth.) D.Dietr.
Atriplex paludosa	Amaranthaceae		marsh saltbush			
Atriplex parishii	Amaranthaceae		Parish's brittlescale			Parish's saltbush
Atriplex parryi	Amaranthaceae		Parry's saltbush	Obione parryi		
Atriplex pedunculata	Amaranthaceae		stalked orache	Salz-Melde		Stielfrüchtige Salzmelde~Pedunculate sea-purslane
Atriplex pentandra	Amaranthaceae			Obione pentandra		
Atriplex persistens	Amaranthaceae		Sacramento saltbush			
Atriplex philippii	Amaranthaceae			Atriplex prostrata Phil.		
Atriplex phyllostegia	Amaranthaceae		leafcover saltweed	Endolepis phyllostegia		Obione phyllostegia
Atriplex polycarpa	Amaranthaceae		cattle saltbush	Obione polycarpa		cattle-spinach~Desert saltbush
Atriplex portulacoides	Amaranthaceae		sea purslane	Ausdauernde Melde		Strandsalzmelde
Atriplex powellii	Amaranthaceae		Powell's saltweed			
Atriplex pusilla	Amaranthaceae		smooth saltbush	Obione pusilla		
Atriplex repanda	Amaranthaceae			Atriplex angustifolia Phil.		
Atriplex rhagodioides	Amaranthaceae		River Saltbush			silver saltbush
Atriplex robusta	Amaranthaceae		Atriplex robusta Stutz, M.R.Stutz & S.C.Sand. (2002)	Atriplex robusta Stutz, M.R.Stutz & S.C.Sand. (2002)		robust saltbush
Atriplex rosea	Amaranthaceae	Arroche rosée	red orache	Rosen-Melde	Atriplice rosea	Atriplex alba Scop.~Atriplex laciniata Bieb.~Schizotheca rosea~Spinacia fera Pall.~Teutliopsis rosea~red scale
Atriplex rusbyi	Amaranthaceae			Obione rotundifolia var. rusbyi		
Atriplex saccaria	Amaranthaceae		sack saltbush	Obione saccaria		Stalked orach
Atriplex sagittata	Amaranthaceae		hoary orache	Glanz-Melde	Atriplice lucida	Glänzende Melde
Atriplex semibaccata	Amaranthaceae		Australian saltbush			
Atriplex serenana	Amaranthaceae		bracteate orach	Atriplex bracteosa (Durand & Hilg.) S.Watson		bractscale~Stinking orach
Atriplex sibirica	Amaranthaceae		Siberian saltbush			
Atriplex spinibractea	Amaranthaceae		Spiny-fruit Saltbush			
Atriplex spinifera	Amaranthaceae		spinescale saltbush			
Atriplex spinosa	Amaranthaceae		spiny hopsage			
Atriplex spongiosa	Amaranthaceae		pop saltbush			
Atriplex stipitata	Amaranthaceae		Bladder Saltbush			
Atriplex suberecta	Amaranthaceae		peregrine saltbush			
Atriplex subspicata	Amaranthaceae		saline saltbush			
Atriplex suckleyi	Amaranthaceae			Endolepis suckleyi		
Atriplex tatarica	Amaranthaceae		Tatarian orache	Tataren-Melde		
Atriplex tenuissima	Amaranthaceae		slender saltbush			
Atriplex texana	Amaranthaceae		Texas saltbush			
Atriplex tornabenei	Amaranthaceae			Atriplex arenaria Tineo		
Atriplex torreyi	Amaranthaceae		Torrey's saltbush	Obione torreyi		
Atriplex tridentata	Amaranthaceae		basin saltbush			
Atriplex truncata	Amaranthaceae		wedgeleaf orache			wedgescale orache~wedgescale saltbush~wedge orache
Atriplex tularensis	Amaranthaceae		Tulare saltbush			
Atriplex vallicola	Amaranthaceae		Lost Hills saltbush			
Atriplex vesicaria	Amaranthaceae		aboriginal saltbush			
Atriplex vestita	Amaranthaceae		Cape saltbush			
Atriplex vulgatissima	Amaranthaceae			Obione macrostyla		Obione vulgatissima~Obione reichei
Atriplex wardii	Amaranthaceae		Ward's saltbush			
Atriplex watsonii	Amaranthaceae		Watson's saltbush	Atriplex decumbens S.Watson		Obione decumbens~Watson’s orach
Atriplex welshii	Amaranthaceae		Welsh's saltbush			
Atriplex wolfii	Amaranthaceae		Slender orach			Wolf's saltweed~Wolf’s orach
Atriplex wrightii	Amaranthaceae		Wright's saltbush			Wright’s orach
Atropa bella-donna	Solanaceae	belladone	belladonna	Schwarze Tollkirsche	Belladonna	Belladonne~Indische Tollkirsche~Wolfsbeere~Deadly Nightshade~banewort~devil's berries
Atropa caucasica	Solanaceae		Caucasian belladonna			
Attalea butyracea	Arecaceae		Yagua palm		Scheelea butyracea	
Attalea cohune	Arecaceae		Cohune palm			
Attalea crassispatha	Arecaceae		Carossier palm			
Attalea eichleri	Arecaceae		Large-fruited yagua palm			
Attalea eichleri × speciosa	Arecaceae		Attalea eichleri x speciosa		Attalea eichleri x speciosa	
Attalea excelsa	Arecaceae		Urucuri palm			
Attalea funifera	Arecaceae		Oil palm	Piassava		Monkey Grass~Para Grass~Piassavabesen~Piassave~Piassaba palm~Bahia piassaba palm
Attalea geraensis	Arecaceae		Indai palm			
Attalea maripa	Arecaceae		Namba			Cusi~Inaja~Cocorite~Anaja~Cucurito~Gaibamo
Attalea oleifera	Arecaceae		Andai palm			
Attalea phalerata	Arecaceae		Urucuri palm			
Attalea speciosa	Arecaceae		babaçu	Babassupalme		Babaçu-Palme~Babassu-Palme~babassu~babassu palm~Babassu-oil palm~cusi
Attalea spectabilis	Arecaceae		Showy para palm			
Aubrieta columnae	Brassicaceae			Sternhaariges Blaukissen		
Aubrieta deltoidea	Brassicaceae	Aubriète deltoïde	Aubrietia deltoidea	Griechisches Blaukissen		lilacbush
Aubrieta × cultorum	Brassicaceae	Aubrieta ×cultorum		Aubrieta ×cultorum	Aubrieta ×cultorum	
Aucoumea klaineana	Burseraceae		Gaboon	Gabun-Mahagoni		Okoumé~Okume
Aucuba japonica	Garryaceae		Japanese aucuba	Japanische Aukube		Goldorange~Japanische Goldorange~Japanese laurel~spotted laurel~gold dust plant
Auerodendron pauciflorum	Rhamnaceae		turtlefat			
Aulacomnium acuminatum	Aulacomniaceae		acutetip aulacomnium moss			
Aulacomnium androgynum	Aulacomniaceae		aulacomnium moss	Mannweibiges Streifensternmoos		
Aulacomnium heterostichum	Aulacomniaceae		aulacomnium moss			
Aulacomnium palustre	Aulacomniaceae	Aulacommium palustre	bog groove-moss	Sumpf-Streifensternmoos		Sumpfstreifensternmoos~ribbed bog moss~aulacomnium moss
Aulacomnium turgidum	Aulacomniaceae		turgid aulacomnium moss			
Aulax cancellata	Proteaceae		Channel-leaf Featherbush			
Aulax pallasia	Proteaceae		Needle-leaf Featherbush			
Aulax umbellata	Proteaceae		Featherbush			Broad-leaf Featherbush
Aureolaria flava	Orobanchaceae		smooth yellow false foxglove			
Aureolaria grandiflora	Orobanchaceae		large-flowered false foxglove			largeflower false foxglove~largeflower yellow false foxglove
Aureolaria laevigata	Orobanchaceae		entireleaf yellow false foxglove			
Aureolaria patula	Orobanchaceae		spreading yellow false foxglove			
Aureolaria pectinata	Orobanchaceae		combleaf yellow false foxglove			
Aureolaria pedicularia	Orobanchaceae		fernleaf yellow false foxglove			
Aureolaria virginica	Orobanchaceae		downy yellow false foxglove			
Aurinia petraea	Brassicaceae		goldentuft			
Aurinia saxatilis	Brassicaceae	Corbeille d'or	basket of gold	Felsen-Steinkraut		Felsensteinkraut~Gold-dust~Golden Alyssum~Goldentuft Alyssum~Goldentuft Madwort~Rock Madwort
Australina pusilla	Urticaceae		Shade Nettle			
Austroblechnum patersonii	Blechnaceae		Strap water fern			
Austrocallerya pilipes	Fabaceae		Northern wisteria			
Austrocedrus chilensis	Cupressaceae		Cordilleran Cypress	Chilezeder		
Austrocylindropuntia subulata	Cactaceae		Eve's Pin			
Austroderia toetoe	Poaceae		toetoe			
Austromuellera trinervia	Proteaceae		Mueller's silky oak			
Austrosteenisia blackii	Fabaceae		blood vine			
Austrostipa flavescens	Poaceae		Coast Spear-grass			
Austrostipa mollis	Poaceae		Supple Spear-grass			
Austrostipa semibarbata	Poaceae		Fibrous Spear-grass			
Austrostipa stipoides	Poaceae		Prickly Spear-grass			
Austrotaxus spicata	Taxaceae		New Caledonia Yew			
Avena abyssinica	Poaceae		Abyssinian oat			
Avena barbata	Poaceae		Slender Oat	Bart-Hafer		Bearded wild oats~Slender wild oat~Slender wild oats
Avena brevis	Poaceae	avoine courte				
Avena fatua	Poaceae	Folle avoine	wild oat	Flug-Hafer		Folle-avoine~Flughafer~Common wild oat
Avena maroccana	Poaceae		Moraccan oat			
Avena nuda	Poaceae		naked oat	Nackt-Hafer		Nackthafer
Avena sativa	Poaceae	avoine cultivée	oats	Hafer		avoine~Echter-Hafer~Saat-Hafer~common oat~Oat
Avena sterilis	Poaceae		animated oat	Tauber Hafer		Tall wild oats
Avena strigosa	Poaceae		lopsided oat	Sand-Hafer		Sandhafer~Rau-Hafer
Avenella flexuosa	Poaceae	Canche flexueuse	Hairgrass	Draht-Schmiele		Deschampsie flexueuse~Drahtschmiele~Geschlängelte Schmiele~Wavy Hair-grass~wavy hairgrass
Avenula hookeri	Poaceae		spikeoat			
Averrhoa bilimbi	Oxalidaceae	Bilimbi	bilimbi	Gurkenbaum		Arbre à cornichons~cucumber tree~tree sorrel
Averrhoa carambola	Oxalidaceae	Carambolier	carambola	Karambola		Karambole~Sternfrucht~star fruit~Chinese gooseberry
Avicennia africana	Acanthaceae		black mangrove			
Avicennia germinans	Acanthaceae		black mangrove	Schwarze Mangrove		
Avicennia marina	Acanthaceae	Palétuvier blanc	gray mangrove		mangrovia grigia.	Palétuvier gris
Avicennia officinalis	Acanthaceae		Mangrove			
Avicennia rumphiana	Acanthaceae		api api bulu			
Axonopus aureus	Poaceae		golden carpetgrass			
Axonopus compressus	Poaceae		broadleaf carpetgrass	Axonopus compressus (Sw.) P. Beauv.		broadleaf carpet grass~wide-leaved carpet grass~wide-leaved carpetgrass
Axonopus fissifolius	Poaceae		common carpetgrass			Carpet grass
Axonopus furcatus	Poaceae		big carpetgrass			
Axonopus micay	Poaceae		pasto micael			
Axonopus purpusii	Poaceae		Purpus' carpetgrass			
Axonopus scoparius	Poaceae		carpetgrass			Imperial Crapet Grass~Imperial Grass
Axonopus suffultus	Poaceae		carpet grass			
Axyris amaranthoides	Amaranthaceae		Russian pigweed	Axyris amaranthoides fo. dentata		
Axyris caucasica	Amaranthaceae		Caucasian Axyris			
Axyris hybrida	Amaranthaceae			Axyris amaranthoides fo. nana		
Ayenia ardua	Malvaceae		wingstem ayenia			
Ayenia euphrasiifolia	Malvaceae		eyebright ayenia			
Ayenia filiformis	Malvaceae		Trans-Pecos ayenia			TransPecos ayenia
Ayenia glabra	Malvaceae		smooth ayenia			
Ayenia insulicola	Malvaceae		dwarf ayenia			
Ayenia limitaris	Malvaceae		Rio Grande ayenia			
Ayenia microphylla	Malvaceae		dense ayenia			
Ayenia pilosa	Malvaceae		hairy ayenia			
Azadirachta excelsa	Meliaceae			Sentang		
Azadirachta indica	Meliaceae	Margousier	neem tree	Niembaum	Neem	Margosa~Margosier~Niem~Paternosterbaum~Neembaum~Zederach
Azara microphylla	Salicaceae		boxleaf azara			chinchin
Azolla caroliniana	Salviniaceae		Carolina mosquitofern			water velvet~Carolina azolla
Azolla filiculoides	Salviniaceae		duckweed fern	Großer Algenfarn		large mosquito fern~Pacific mosquitofern~water fern
Azolla mexicana	Salviniaceae		Mexican mosquitofern			
Azolla microphylla	Salviniaceae		Mexican mosquito fern			mosquito fern
Azolla pinnata	Salviniaceae		feathered mosquitofern			Ferny Azolla~Mosquito Fern~Water Velvet
Azolla rubra	Salviniaceae		Pacific azolla			Red azolla
Azorella compacta	Apiaceae	Yareta		Yareta	Yareta	Llareta
Babiana montana	Iridaceae		Baboon-root			Agulhas baboon flower
Babiana purpurea	Iridaceae		Baboon-root			
Babiana rubrocyanea	Iridaceae		Blue-and-red Babiana			
Baccaurea motleyana	Phyllanthaceae		rambai			
Baccaurea racemosa	Phyllanthaceae		menteng			
Baccaurea ramiflora	Phyllanthaceae		Burmese grape			Baccaurea ramiflora Lour
Baccharis angustifolia	Asteraceae		false willow			saltwater false willow
Baccharis bigelovii	Asteraceae		Bigelow's false willow			
Baccharis brachyphylla	Asteraceae		shortleaf baccharis			
Baccharis dioica	Asteraceae		broombush false willow			
Baccharis douglasii	Asteraceae		saltmarsh baccharis			
Baccharis emoryi	Asteraceae		Emory's baccharis			Emory's false willow
Baccharis glomeruliflora	Asteraceae		silverling			
Baccharis halimifolia	Asteraceae	Bacchante de Virginie	eastern baccharis	Kreuzstrauch		Séneçon en arbre~Groundsel Bush
Baccharis havardii	Asteraceae		Havard's false willow			
Baccharis myrsinites	Asteraceae		Santo Domingo false willow			
Baccharis neglecta	Asteraceae		Rooseveltweed			
Baccharis pilularis	Asteraceae		Chaparral Broom			Coyote Brush~coyotebrush
Baccharis plummerae	Asteraceae		Plummer's baccharis			
Baccharis pteronioides	Asteraceae		yerba de pasmo			
Baccharis salicifolia	Asteraceae		mule-fat			
Baccharis salicina	Asteraceae		Emory's baccharis			Great Plains False Willow~willow baccharis
Baccharis sarothroides	Asteraceae		desertbroom			
Baccharis sergiloides	Asteraceae		desert baccharis			
Baccharis texana	Asteraceae		prairie false willow			
Baccharis vanessae	Asteraceae		Encinitis false willow			
Baccharis wrightii	Asteraceae		Wright's baccharis			
Bachmannia woodii	Capparaceae		Four-finger Bush			
Backhousia citriodora	Myrtaceae		lemon myrtle	Zitronenmyrte		lemon scented ironwood~lemon scented myrtle
Backhousia myrtifolia	Myrtaceae		ironwood			iron wood~carrol~cinnamon myrtle~grey myrtle~neverbreak
Backhousia sciadophora	Myrtaceae		ironwood			boomerang tree~curracabark~shatterwood
Bacopa caroliniana	Plantaginaceae		blue waterhyssop			
Bacopa crenata	Plantaginaceae		brahmi			waterhyssop~moneywort
Bacopa egensis	Plantaginaceae		Brazilian waterhyssop			
Bacopa eisenii	Plantaginaceae		Gila River waterhyssop			
Bacopa innominata	Plantaginaceae		tropical waterhyssop			
Bacopa monnieri	Plantaginaceae		Brahmi	Kleines Fettblatt		Coastal Waterhyssop~herb of grace~Thyme-leafed gratiola~Water hyssop~Indian pennywort~waterhyssop
Bacopa repens	Plantaginaceae		creeping waterhyssop			
Bacopa rotundifolia	Plantaginaceae		disk waterhyssop			
Bacopa stricta	Plantaginaceae		yerba de culebra			
Bactris caryotifolia	Arecaceae		Caryota-leaved peach palm			
Bactris gasipaes	Arecaceae	Palmier pêche	peach palm	Pfirsichpalme		Chonta~Pfirsichpalmen~Pupunha
Bactris glandulosa	Arecaceae		Gold palm			
Bactris guineensis	Arecaceae		Tobago cane			
Bactris jamaicana	Arecaceae		Prickly Pole			
Bactris major	Arecaceae		Lata palm			Peach palm
Bactris piscatorum	Arecaceae		Bango palm			
Bactris setosa	Arecaceae		Jucum palm			
Baeckea linifolia	Myrtaceae		swamp baeckea			weeping baeckea
Baeckea virgata	Myrtaceae		tall baeckea			
Bahia absinthifolia	Asteraceae		hairyseed bahia			
Bahia bigelovii	Asteraceae		Bigelow's bahia			
Bahia biternata	Asteraceae		slimlobe bahia			
Bahia dissecta	Asteraceae		ragleaf bahia			
Bahia pedata	Asteraceae		bluntscale bahia			
Bahia schaffneri	Asteraceae		Schaffner's bahia			
Baikiaea plurijuga	Fabaceae		Rhodesian-teak			Zambesi Redwood
Baileya australis	Asteraceae		Baileya (Nolidae) australis			Small Baileya
Baileya dormitans	Asteraceae		Sleeping Baileya			
Baileya doubledayi	Asteraceae		Doubleday's Baileya			
Baileya levitans	Asteraceae		Pale Baileya			
Baileya multiradiata	Asteraceae		desert marigold			
Baileya ophthalmica	Asteraceae		Eyed Baileya			
Baileya pauciradiata	Asteraceae		laxflower			
Baileya pleniradiata	Asteraceae		woolly desert marigold			
Baillonella toxisperma	Sapotaceae	moabi	moabi			African Pearwood~djave~Djave Nut
Balaka microcarpa	Arecaceae		Spear palm			
Balanites aegyptiaca	Zygophyllaceae		Desert Date	Wüstendattel		Egyptian myrobalan~heglig~Jericho balsam~simple thorned torch tree~simple-thorned torchwood~soap berry tree
Balanites maughamii	Zygophyllaceae		Torchwood			manduro
Balanophora fungosa	Balanophoraceae		Fungus root			
Balanops australiana	Balanopaceae		pimplebark			
Baldellia ranunculoides	Alismataceae	Alisma Fausse Renoncule	Lesser water-plantain	Igelschlauch		Crowfoot-Alisma~lesser waterplantain
Balduina angustifolia	Asteraceae		coastal plain honeycombhead			coastalplain honeycombhead
Balduina atropurpurea	Asteraceae		purpledisk honeycombhead			
Balduina uniflora	Asteraceae		oneflower honeycombhead			
Ballota acetabulosa	Lamiaceae			Napf-Schwarznessel		
Ballota nigra	Lamiaceae	Ballote	Black Horehound	Schwarznessel	Marrubio selvatico	Ballote noire~ballote vulgaire~Gewöhnliche Schwarznessel~Schwarzer Gottvergess~Stink-Andorn~Stinkandorn
Ballota pseudodictamnus	Lamiaceae		Grecian horehound	Kreta-Schwarznessel		
Baloghia inophylla	Euphorbiaceae		brush bloodwood			ivory birch~scrub bloodwood
Balsamorhiza careyana	Asteraceae		Carey's balsamroot			
Balsamorhiza deltoidea	Asteraceae	Balsamorhize à feuilles deltoïdes	deltoid balsamroot			
Balsamorhiza hookeri	Asteraceae		Hooker's balsamroot			
Balsamorhiza incana	Asteraceae		hoary balsamroot			
Balsamorhiza lanata	Asteraceae		lanate balsamroot			
Balsamorhiza macrophylla	Asteraceae		cutleaf balsamroot			
Balsamorhiza rosea	Asteraceae		rosy balsamroot			
Balsamorhiza sagittata	Asteraceae			Pfeilblättrige Balsamwurzel		
Balsamorhiza sericea	Asteraceae		silky balsamroot			
Balsamorhiza serrata	Asteraceae		serrate balsamroot			
Baltimora recta	Asteraceae		beautyhead			
Bambusa amahussana	Poaceae		Indonesian thin-walled bamboo			
Bambusa arnhemica	Poaceae		Arnhem Land bamboo			Australian bamboo~Didgeridoo bamboo
Bambusa arundinacea	Poaceae	Bambou géant	Nepalese bamboos			Spiny bamboo~Thorny bamboo~Giant reed-bamboo~Indian bamboo~Reed bamboo~bamboo
Bambusa atra	Poaceae		Bogor thin-walled bamboo			walled bamboo
Bambusa balcooa	Poaceae		Giant bamboo			Balcooa bamboo~Female bamboo
Bambusa bambos	Poaceae	bambou épineux				
Bambusa beecheyana	Poaceae		Beechey bamboo			Silk-ball bamboo~South-China sinocalamus~Beechey's bamboo
Bambusa burmanica	Poaceae		Burmese weavers' bamboo			
Bambusa dissimulator	Poaceae		Muddy bamboo			
Bambusa dolichoclada	Poaceae		Blowpipe bamboo			Long-branched bamboo
Bambusa dolichomerithalla	Poaceae		Blowpipe bamboo			
Bambusa humilis	Poaceae		Surinam dwarf bamboo			
Bambusa lapidea	Poaceae		Horsehoof bamboo			
Bambusa longispiculata	Poaceae		bamboo			
Bambusa multiplex	Poaceae		Oriental hedge bamboo			Alphonse Karr Bamboo~Chinese bamboo~Chinese dwarf bamboo~Fernleaf hedge bamboo~Hedge bamboo
Bambusa nutans	Poaceae		Burmese timber bamboo			
Bambusa oldhamii	Poaceae		Oldham bamboo			
Bambusa pervariabilis	Poaceae		Puntingpole bamboo			
Bambusa polymorpha	Poaceae		Bengal Bamboo, Polymorph bamboo			polymorph bamboo
Bambusa sinospinosa	Poaceae		Chinese spiny bamboo			
Bambusa spinosa	Poaceae		Spiny bamboo			Thorny bamboo
Bambusa textilis	Poaceae		Slender bamboo			Slender weavers' bamboo~Spotted weavers' bamboo~Weaver's bamboo~textile bamboo
Bambusa tulda	Poaceae	bambou de l'Inde	Nepalese bamboos			Bengal bamboo~Spineless Indian bamboo~Tuld bamboo~bamboo
Bambusa tuldoides	Poaceae		Puntingpole bamboo			Buddha bamboo~Buddha's belly Bamboo~Buddha's-belly bamboo~Punting pole Bamboo~Swollen-stemmed bamboo~Verdant bamboo
Bambusa ventricosa	Poaceae			Buddhas-Bauch-Bambus		
Bambusa vulgaris	Poaceae		bamboo			Nepalese bamboos~golden bamboo~Buddha's common bamboo~common bamboo~dragon-head bamboo~feathery bamboo
Banara portoricensis	Salicaceae		Puerto Rico palo de ramon			
Banara vanderbiltii	Salicaceae		Vanderbilt's palo de ramon			
Banisteriopsis caapi	Malpighiaceae		ayahuasca	Banisteria caapi		
Banisteriopsis lucida	Malpighiaceae		paralejo de monte			
Banksia acanthopoda	Proteaceae		Dryandra acanthopoda			
Banksia aculeata	Proteaceae		prickly banksia			
Banksia aquilonia	Proteaceae		northern banksia			
Banksia ashbyi	Proteaceae		Ashby's banksia			
Banksia attenuata	Proteaceae		biara			candlestick banksia~slender banksia
Banksia baueri	Proteaceae	Banksia ser. Bauerinae	woolly banksia			
Banksia baxteri	Proteaceae		Baxter's banksia			bird's nest banksia
Banksia brownii	Proteaceae		Browns banksia			feather-leaved Banksia
Banksia burdettii	Proteaceae		Burdett's banksia			
Banksia caleyi	Proteaceae		Cayley's Banksia			Red Lantern Banksia
Banksia candolleana	Proteaceae		propeller banksia			
Banksia canei	Proteaceae		Mountain Banksia			
Banksia coccinea	Proteaceae		Albany banksia			scarlet banksia~waratah banksia
Banksia cuneata	Proteaceae		Matchstick banksia			Quairading banksia
Banksia dentata	Proteaceae		tropical banksia			
Banksia dryandroides	Proteaceae		dryandra-leaved banksia			
Banksia elderiana	Proteaceae		Swordfish banksia			
Banksia ericifolia	Proteaceae		heath-leaf banksia			
Banksia goodii	Proteaceae		Good's banksia			
Banksia grandis	Proteaceae		biara			beera~boongura~Bull Banksia~Giant Banksia~gwangia~peera
Banksia integrifolia	Proteaceae		coast banksia			coastal banksia
Banksia laevigata	Proteaceae	Banksia laevigata laevigata				
Banksia lemanniana	Proteaceae		Lemann's banksia			Yellow lantern banksia
Banksia marginata	Proteaceae		silver banksia			
Banksia media	Proteaceae		Golden stalk banksia			Southern plains banksia
Banksia mimica	Proteaceae		summer honeypot			
Banksia mucronulata	Proteaceae		Swordfish Dryandra			
Banksia nivea	Proteaceae		honeypot dryandra			
Banksia nobilis	Proteaceae		golden dryandra			great dryandra~kerosene bush
Banksia oligantha	Proteaceae		Wagin Banksia			
Banksia saxicola	Proteaceae		Rock banksia			
Banksia scabrella	Proteaceae		Burma road banksia			
Banksia sessilis	Proteaceae		budjan			butyak~Parrot Bush
Banksia sphaerocarpa	Proteaceae		Fox banksia			Round-fruit banksia
Banksia spinulosa	Proteaceae		hairpin banksia			
Banksia tricuspis	Proteaceae		Pine banksia			
Baphia massaiensis	Fabaceae		Sand camwoord			
Baphia nitida	Fabaceae	Bois rouge	Category:Baphia nitida			camwood
Baphia racemosa	Fabaceae		Natal camwood			Violet pea
Baptisia alba	Fabaceae		false indigo			wild indigo~thin-pod white wild indigo~white false indigo~white indigo~white wild indigo~wild white indigo
Baptisia albescens	Fabaceae		spiked wild indigo			
Baptisia arachnifera	Fabaceae		cobwebby wild indigo			
